,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
328,1/2/2016 10:00,1/2/2016 5:00,Other Renewables,564.2,0.01,TRUE,1/2/2016 5:00,5,2,1,2016
329,1/2/2016 10:00,1/2/2016 5:00,Solar,0,0,TRUE,1/2/2016 5:00,5,2,1,2016
332,1/2/2016 11:00,1/2/2016 6:00,Hydro,602.6,0.01,TRUE,1/2/2016 6:00,6,2,1,2016
336,1/2/2016 11:00,1/2/2016 6:00,Other Renewables,568.3,0,TRUE,1/2/2016 6:00,6,2,1,2016
337,1/2/2016 11:00,1/2/2016 6:00,Solar,0,0,TRUE,1/2/2016 6:00,6,2,1,2016
339,1/2/2016 11:00,1/2/2016 6:00,Wind,1977.7,0.02,TRUE,1/2/2016 6:00,6,2,1,2016
343,1/2/2016 12:00,1/2/2016 7:00,Hydro,591.1,0.01,TRUE,1/2/2016 7:00,7,2,1,2016
347,1/2/2016 12:00,1/2/2016 7:00,Wind,1727.6,0.02,TRUE,1/2/2016 7:00,7,2,1,2016
350,1/2/2016 12:00,1/2/2016 7:00,Other Renewables,560.4,0,TRUE,1/2/2016 7:00,7,2,1,2016
351,1/2/2016 12:00,1/2/2016 7:00,Solar,0,0,TRUE,1/2/2016 7:00,7,2,1,2016
354,1/2/2016 13:00,1/2/2016 8:00,Hydro,699.2,0.01,TRUE,1/2/2016 8:00,8,2,1,2016
358,1/2/2016 13:00,1/2/2016 8:00,Other Renewables,565.6,0,TRUE,1/2/2016 8:00,8,2,1,2016
359,1/2/2016 13:00,1/2/2016 8:00,Solar,8.8,0,TRUE,1/2/2016 8:00,8,2,1,2016
361,1/2/2016 13:00,1/2/2016 8:00,Wind,1440.5,0.02,TRUE,1/2/2016 8:00,8,2,1,2016
365,1/2/2016 14:00,1/2/2016 9:00,Hydro,648.3,0.01,TRUE,1/2/2016 9:00,9,2,1,2016
369,1/2/2016 14:00,1/2/2016 9:00,Other Renewables,565.1,0,TRUE,1/2/2016 9:00,9,2,1,2016
370,1/2/2016 14:00,1/2/2016 9:00,Solar,28.9,0,TRUE,1/2/2016 9:00,9,2,1,2016
