,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
116,Dickerson,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,9.765273311897106,27.72773979582874,1572,933,MD,Coal boiler,5.0,132573.60000000003
117,Cheswick,COAL,2.3274043715847013,1.4,Dominion South Point,9.811616954474097,27.835600192157585,8226,637,PA,Coal boiler,5.0,133210.60000000003
118,Joliet 29,GAS,2.4471,2.4471,Chicago City Gate,10.16969696969697,27.886265454545452,384,1320,IL,Coal boiler,3.0,134530.60000000003
119,Marsh Run Generation Facility,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.15801354401806,27.90316027088036,7836,708.8,VA,Combustion turbine,7.0,135239.40000000002
120,H L Spurlock,COAL,2.3274043715847013,2.3599,Lebanon,9.865340379235311,27.96063632580334,6041,1608.5,KY,Coal boiler,5.0,136847.90000000002
121,Herbert A Wagner,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,9.879074161549362,27.992600390799453,1554,1058.5,MD,Coal boiler,5.0,137906.40000000002
122,Virginia City Hybrid Energy Center,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,9.880239520958083,27.995312653381777,56808,668,VA,Coal boiler,5.0,138574.40000000002
123,Buchanan Units 1 & 2,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.204545454545455,27.998913636363636,55738,88,VA,Combustion turbine,7.0,138662.40000000002
124,Kincaid Generating Station,COAL,2.3274043715847013,2.4471,Chicago City Gate,9.886277482941622,28.009365432497727,876,1319,IL,Coal boiler,5.0,139981.40000000002
125,Hopewell Power Station,,2.0,2.0578,Transco Zone 6 Non NY,11.533052039381154,28.066104078762308,10771,71.1,VA,Coal boiler,5.0,140052.50000000003
126,Yorktown Power Station,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,9.969769291964996,28.203684633810244,3809,1257,VA,Coal boiler,5.0,141309.50000000003
127,Rock Springs Generating Facility,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.341261633919338,28.280248190279213,7835,773.6,MD,Combustion turbine,7.0,142083.10000000003
128,Waukegan,COAL,2.3274043715847013,2.4471,Chicago City Gate,10.042636930141029,28.373277093448195,883,914.7,IL,Coal boiler,5.0,142997.80000000005
129,Conemaugh,COAL,2.3274043715847013,1.4,Dominion South Point,10.066348195329088,28.428462795702686,3118,1884,PA,Coal boiler,5.0,144881.80000000005
