Hour,Day,Month,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
15,15,10,2016,72865.208,2393,GAS,14.726315789473684,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
16,15,10,2016,72970.266,7962,GAS,14.708333333333332,0.5261138621780138,9.217388639580471e-05,3.2679832449421675e-06
17,15,10,2016,73714.217,2393,GAS,14.726315789473684,0.6955926151731548,0.00022707787711679245,4.658007735729076e-06
18,15,10,2016,74428.256,55938,GAS,15.729399477806789,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
19,15,10,2016,75872.083,54640,GAS,15.864864864864865,0.6352059336998523,0.00011180071626230257,3.992882723653663e-06
20,15,10,2016,78637.334,2403,COAL,16.9392089714959,0.6027487560741758,0.00048555728328167884,5.113826763639974e-05
21,15,10,2016,77540.835,1553,GAS,16.418357487922705,0.6379773947662118,0.001019071210978915,3.5571400199002226e-06
22,15,10,2016,74983.907,55938,GAS,15.729399477806789,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
23,15,10,2016,71450.155,55233,GAS,14.062818336162987,0.5900765006413676,0.0006451746914588476,3.7376542974090677e-06
24,15,10,2016,67335.774,2828,COAL,24.547296398983544,0.8506963285085356,0.0003810023954049212,0.0009330471445360562
1,16,10,2016,63678.837,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
2,16,10,2016,61084.395,2406,GAS,12.232074671192192,0.38284812185985556,2.1234976149182634e-05,2.1384157269227694e-06
3,16,10,2016,59570.412,55939,GAS,12.118761037902459,0.3645215044857667,1.923961581250773e-05,2.0284770263802115e-06
4,16,10,2016,58690.965,55939,GAS,12.118761037902459,0.3645215044857667,1.923961581250773e-05,2.0284770263802115e-06
5,16,10,2016,58703.42,55939,GAS,12.118761037902459,0.3645215044857667,1.923961581250773e-05,2.0284770263802115e-06
6,16,10,2016,59446.57,55939,GAS,12.118761037902459,0.3645215044857667,1.923961581250773e-05,2.0284770263802115e-06
7,16,10,2016,61688.725,2406,GAS,12.232074671192192,0.38284812185985556,2.1234976149182634e-05,2.1384157269227694e-06
8,16,10,2016,64038.23,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
9,16,10,2016,66879.175,3804,GAS,13.514702915605938,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
10,16,10,2016,69363.126,55233,GAS,14.062818336162987,0.5900765006413676,0.0006451746914588476,3.7376542974090677e-06
11,16,10,2016,70900.885,1556,GAS,14.43028969563623,0.5889610937666651,0.00018372644089271028,5.563429528956807e-06
12,16,10,2016,72141.996,55938,GAS,15.729399477806789,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
13,16,10,2016,73462.531,55347,GAS,15.95813953488372,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
14,16,10,2016,74115.181,3159,COAL,16.19142769209,0.9446109432776311,0.000883522736838472,0.001832558334326451
15,16,10,2016,74582.127,2403,COAL,16.9392089714959,0.6027487560741758,0.00048555728328167884,5.113826763639974e-05
16,16,10,2016,75434.987,2403,COAL,16.9392089714959,0.6027487560741758,0.00048555728328167884,5.113826763639974e-05
17,16,10,2016,76745.269,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
18,16,10,2016,78313.39,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
19,16,10,2016,80831.008,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
20,16,10,2016,83971.587,2840,COAL,21.509483680388133,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
21,16,10,2016,82570.172,7835,GAS,20.236814891416753,0.5613202727822885,0.00016079644783712548,3.1238141446213064e-06
22,16,10,2016,78878.042,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
23,16,10,2016,73942.732,10099,GAS,15.609665427509295,0.44734405915343556,0.00013727241630160516,2.4960670041296666e-06
24,16,10,2016,69181.221,3140,COAL,24.590423684674704,0.8803133143567544,0.0017031805355596425,0.0015568331541498445
1,17,10,2016,65332.142,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
2,17,10,2016,63154.799,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
3,17,10,2016,61729.488,2406,GAS,12.232074671192192,0.38284812185985556,2.1234976149182634e-05,2.1384157269227694e-06
4,17,10,2016,61483.264,2406,GAS,12.232074671192192,0.38284812185985556,2.1234976149182634e-05,2.1384157269227694e-06
5,17,10,2016,62893.417,58260,GAS,12.520445591631571,0.368630821025632,2.077078703753693e-05,2.051276483831287e-06
6,17,10,2016,67457.334,55239,GAS,13.195104128607964,0.5832792041690795,5.482159603354528e-05,3.245803801560447e-06
7,17,10,2016,75957.098,55938,GAS,15.729399477806789,0.5464044725639596,0.00016379436725115804,3.040865472953045e-06
8,17,10,2016,81753.46,1571,GAS,17.306309029089533,0.737325768232607,0.0007390138587819165,0.000298756439349211
